Any,Categoria,Indicador,Valor,Nota,Font
2022,"Dades de context","Població de la ciutat de Barcelona",1.636.193,,"Font: Oficina Municipal de Dades. Ajuntament de Barcelona."
2022,"Dades de context","Població de l'Àrea Metropolitana de Barcelona",3.304.275,,"Font: Oficina Municipal de Dades. Ajuntament de Barcelona."
2022,"Dades de context","% població amb estudis universitaris o cicles de grau superior","33,4","Dada 2020.","Font: Oficina Municipal de Dades. Ajuntament de Barcelona."
2022,"Dades de context","% del pressupost inicial de l'Ajuntament de Barcelona dedicat a cultura","6,48",,"Font: Institut de Cultura. Ajuntament de Barcelona."
2022,"Dades de context","Renda Disponible de les Llars per càpita (RDL pc) (euros/any)",20.667,"Dada 2020.","Font: Oficina Municipal de Dades. Ajuntament de Barcelona."
2022,"Dades de context","PIB Barcelona (milions d'€)",93.000,,"Font: Oficina Municipal de Dades. Ajuntament de Barcelona."
2022,"Dades de context","Taxa d'atur",9,"4t trimestre 2022.","Font: Oficina Municipal de Dades. Ajuntament de Barcelona."
2022,"Dades de context","Nombre anual de turistes als hotels",7.374.259,"Visitants que han pernoctat almenys una nit a un hotel de Barcelona (amb independència del motiu de la seva estada).","Font: Turisme de Barcelona."
2022,"Dades de context","Superfície de la ciutat (en quilòmetres quadrats)","101,4",,"Font: Oficina Municipal de Dades. Ajuntament de Barcelona."
2022,"Dades de context","Nre. d'edificis declarats Patrimoni de la Humanitat per la UNESCO",8,,"Font: UNESCO."
2022,"Museus i espais d'exposicions","Nre. de museus i grans centres d'exposicions",58,,"Font: Institut de Cultura. Ajuntament de Barcelona."
2022,"Museus i espais d'exposicions","Nre. d'espais i seus dels museus i centres",76,,"Font: Institut de Cultura. Ajuntament de Barcelona."
2022,"Museus i espais d'exposicions","Visitants de museus, exposicions i col·leccions",23.264.014,,"Font: Institut de Cultura. Ajuntament de Barcelona."
2022,"Museus i espais d'exposicions","Visitants als 10 espais amb més públic",15.918.636,,"Font: Institut de Cultura. Ajuntament de Barcelona."
2022,"Museus i espais d'exposicions","Nre. de centres amb més de 500.000 visitants anuals",14,,"Font: Institut de Cultura. Ajuntament de Barcelona."
2022,"Museus i espais d'exposicions","Nre. d'exposicions temporals amb més de 100.000 visites",21,,"Font: Institut de Cultura. Ajuntament de Barcelona."
2022,"Espais d'arts escèniques","Nre. de teatres",47,"Inclou teatres i altres tipus d'espais on es fan espectacles d'arts escèniques amb regularitat.","Font: Associació d'Empreses de Teatre de Catalunya (ADETCA)."
2022,"Espais d'arts escèniques","Nre. de sales d'arts escèniques",56,"Inclou sales de teatres i altres tipus d'espais on es fan espectacles d'arts escèniques amb regularitat.","Font: Associació d'Empreses de Teatre de Catalunya (ADETCA)."
2022,"Espais d'arts escèniques","Nre. de funcions",12.769,,"Font: Associació d'Empreses de Teatre de Catalunya (ADETCA)."
2022,"Espais d'arts escèniques","Espectadors de les sales d'arts escèniques",2.470495,,"Font: Associació d'Empreses de Teatre de Catalunya (ADETCA)."
2022,"Espais d'arts escèniques","% d'ocupació de les sales d'arts escèniques","53,9",,"Font: Associació d'Empreses de Teatre de Catalunya (ADETCA)."
2022,"Espais d'arts escèniques","Espectadors dels 10 teatres amb més públic",1.542.389,,
2022,"Espais de concerts","Nre. de grans auditoris",3,,"Font: Institut de Cultura. Ajuntament de Barcelona."
2022,"Espais de concerts","Espectadors dels grans auditoris",897.362,,"Font: Institut de Cultura. Ajuntament de Barcelona."
2022,"Espais de concerts","% d'ocupació dels grans auditoris","66,3",,"Font: Institut de Cultura. Ajuntament de Barcelona."
2022,"Sales de cinema i rodatges a la ciutat","Nre. de cinemes",22,"Dada 2021.","Font: Institut Català de les Empreses Culturals (ICEC)."
2022,"Sales de cinema i rodatges a la ciutat","Nre. de pantalles de cinema",154,"Dada 2021.","Font: Institut Català de les Empreses Culturals (ICEC)."
2022,"Sales de cinema i rodatges a la ciutat","Pel·lícules exhibides",1.039,"Dada 2021.","Font: Institut Català de les Empreses Culturals (ICEC)."
2022,"Sales de cinema i rodatges a la ciutat","Nre. de sessions",115.795,"Dada 2021.","Font: Institut Català de les Empreses Culturals (ICEC)."
2022,"Sales de cinema i rodatges a la ciutat","Espectadors de cinema",2.464.606,"Dada 2021.","Font: Institut Català de les Empreses Culturals (ICEC)."
2022,"Sales de cinema i rodatges a la ciutat","Nre. de produccions rodades a Barcelona",2.773,,"Font: Barcelona Film Commission. Ajuntament de Barcelona."
2022,"Sales de cinema i rodatges a la ciutat","Audiovisuals de ficció i dramàtics rodats a Barcelona",428,,"Font: Barcelona Film Commission. Ajuntament de Barcelona."
2022,"Fàbriques de Creació","Nre. d'equipaments de la xarxa Fàbriques de Creació",11,,"Font: Institut de Cultura. Ajuntament de Barcelona."
2022,"Fàbriques de Creació","Nre. d'activitats de difusió cultural a la xarxa de Fàbriques de Creació",648,,"Font: Institut de Cultura. Ajuntament de Barcelona."
2022,"Fàbriques de Creació","Nre. de projectes de creació de la xarxa Fàbriques de Creació",682,,"Font: Institut de Cultura. Ajuntament de Barcelona."
2022,"Biblioteques de Barcelona","Nre. de biblioteques de la xarxa de biblioteques públiques",40,,"Font: Biblioteques de Barcelona."
2022,"Biblioteques de Barcelona","Nre. de biblioteques de la xarxa de biblioteques públiques / 100.000 habitants","2,44",,"Font: Biblioteques de Barcelona."
2022,"Biblioteques de Barcelona","Visites a la xarxa Biblioteques de Barcelona",4.782.702,,"Font: Biblioteques de Barcelona."
2022,"Biblioteques de Barcelona","Préstecs a les biblioteques públiques",3.183.260,"Préstecs presencials.","Font: Biblioteques de Barcelona."
2022,"Biblioteques de Barcelona","Préstecs virtuals a les biblioteques públiques",352.625,,"Font: Biblioteques de Barcelona."
2022,"Biblioteques de Barcelona","% de població de Barcelona amb carnet de biblioteca","46,3",,"Font: Biblioteques de Barcelona."
2022,"Biblioteques de Barcelona","Puntuació de la gestió municipal en biblioteques (del 0 al 10)","7,8",,"Font: Enquesta de Serveis Municipals. Ajuntament de Barcelona."
2022,Llibres,"Total de llibres publicats a Barcelona (inclou publicacions digitals)",21.325,,"Font: Ministerio de Educación, Cultura y Deporte."
2022,Llibres,"% dels llibres en suport digital",32,,"Font: Ministerio de Educación, Cultura y Deporte."
2022,Llibres,"% dels llibres en suport paper",68,,"Font: Ministerio de Educación, Cultura y Deporte."
2022,"Centres cívics","Nre. de centres cívics",52,,"Font: Institut de Cultura. Ajuntament de Barcelona."
2022,"Centres cívics","Total d'activitats de formació (cursos i itineraris)",9.425,,"Font: Institut de Cultura. Ajuntament de Barcelona."
2022,"Centres cívics","Inscripcions a les activitats de formació (cursos i itineraris)",106.261,,"Font: Institut de Cultura. Ajuntament de Barcelona."
2022,"Centres cívics","Total d'activitats de difusió cultural",4.384,"Inclou espectacles i xerrades. No es comptabilitzen les activitats relacionades amb les exposicions.","Font: Institut de Cultura. Ajuntament de Barcelona."
2022,"Centres cívics","Assistents a les activitats de difusió cultural",268.629,,"Font: Institut de Cultura. Ajuntament de Barcelona."
2022,"Centres cívics","Entitats usuàries dels centres cívics",4.585,,"Font: Institut de Cultura. Ajuntament de Barcelona."
2022,"Centres cívics","Puntuació de la gestió municipal en centres cívics (del 0 al 10)","7,4",,"Font: Enquesta de Serveis Municipals. Ajuntament de Barcelona."
2022,Festivals,"Nre. de festivals a la ciutat",189,,"Font: Institut de Cultura. Ajuntament de Barcelona."
2022,Festivals,"Públic presencial als festivals",2.481.713,"Correspon al públic de 158 festivals.","Font: Institut de Cultura. Ajuntament de Barcelona."
2022,Festivals,"Nre. de fires a la ciutat",13,,"Font: Institut de Cultura. Ajuntament de Barcelona."
2022,Festivals,"Nre. de festivals amb més de 100.000 assistents",6,,"Font: Institut de Cultura. Ajuntament de Barcelona."
2022,Festes,"Assistents a les Festes de la Mercè",1.042.097,,"Font: Institut de Cultura. Ajuntament de Barcelona."
2022,Festes,"Puntuació de la gestió municipal en festes populars (del 0 al 10)","6,9",,"Font: Enquesta de Serveis Municipals. Ajuntament de Barcelona."
2022,"Subvencions/Transferències de l'ICUB","Aportacions a consorcis i fundacions (milions d'euros)","62,4","Dada 2021.","Font: Institut de Cultura. Ajuntament de Barcelona."
2022,"Subvencions/Transferències de l'ICUB","Subvencions per conveni (milions d'euros)","4,6","Dada 2021.","Font: Institut de Cultura. Ajuntament de Barcelona."
2022,"Subvencions/Transferències de l'ICUB","Subvencions per convocatòria (milions d'euros)","7,4","Dada 2021.","Font: Institut de Cultura. Ajuntament de Barcelona."
